Test,Comparison,Year,Sex,Site,County,Cancer,p,Sig,Race
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Leukemia,Not Polk,12.8,0.2803 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Leukemia,Polk County,18.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Leukemia,Not Polk,17.5,0.1668 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Leukemia,Polk County,25.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Leukemia,Not Polk,22.8,0.1053 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Leukemia,Polk County,13.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Leukemia,Not Polk,13.2,0.9081 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Leukemia,Polk County,18.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Leukemia,Not Polk,17.1,0.2251 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Leukemia,Polk County,22.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Leukemia,Not Polk,22.2,0.8132 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Leukemia,Polk County,14.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Leukemia,Not Polk,12.6,0.0587 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Myeloma,Polk County,5.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Both,Myeloma,Not Polk,5.8,0.5895 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Myeloma,Polk County,6.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Myeloma,Not Polk,7.5,0.2206 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Myeloma,Polk County,5,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Myeloma,Not Polk,4.4,0.4476 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Myeloma,Polk County,6.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Both,Myeloma,Not Polk,6.5,0.8094 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Myeloma,Polk County,8.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Myeloma,Not Polk,7.8,0.4045 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Myeloma,Polk County,5.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Myeloma,Not Polk,5.5,0.6780 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Myeloma,Polk County,8.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Both,Myeloma,Not Polk,7.2,0.1598 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Myeloma,Polk County,10.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Myeloma,Not Polk,9,0.0888 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Myeloma,Polk County,6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Myeloma,Not Polk,5.7,0.7215 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Myeloma,Polk County,7.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Both,Myeloma,Not Polk,7.5,0.8267 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Myeloma,Polk County,9.6,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Myeloma,Not Polk,9.4,0.8536 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Myeloma,Polk County,6.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Myeloma,Not Polk,5.9,0.6334 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Breast,Polk County,129.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Breast,Not Polk,121.8,0.0453 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Breast,Polk County,133.2,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Breast,Not Polk,121.9,0.0018 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Breast,Polk County,128.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Breast,Not Polk,130.6,0.5340 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Breast,Polk County,143.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Breast,Not Polk,136.3,0.0304 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Prostate,Polk County,128.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Male,Prostate,Not Polk,146,0.0001 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Prostate,Polk County,127.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Male,Prostate,Not Polk,127.9,0.9758 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Prostate,Polk County,99.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Male,Prostate,Not Polk,112.2,0.0003 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Prostate,Polk County,112.4,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Male,Prostate,Not Polk,131.9,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Cervix and Uteri,Polk County,7.1,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Cervix and Uteri,Not Polk,6.8,0.7703 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Cervix and Uteri,Polk County,6.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Cervix and Uteri,Not Polk,7.1,0.6783 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Cervix and Uteri,Polk County,7.7,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Cervix and Uteri,Not Polk,7.5,0.8912 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Cervix and Uteri,Polk County,7.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Cervix and Uteri,Not Polk,7,0.3220 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Female Genital,Polk County,47.8,,0,All
"Across Counties, Total Population",Other Iowa Counties,2003-2007,Female,Female Genital,Not Polk,45.9,0.4125 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Female Genital,Polk County,53.9,,0,All
"Across Counties, Total Population",Other Iowa Counties,2008-2012,Female,Female Genital,Not Polk,48.5,0.0183 ,1,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Female Genital,Polk County,46,,0,All
"Across Counties, Total Population",Other Iowa Counties,2013-2017,Female,Female Genital,Not Polk,48.4,0.2705 ,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Female Genital,Polk County,50.3,,0,All
"Across Counties, Total Population",Other Iowa Counties,2018-2022,Female,Female Genital,Not Polk,47.9,0.2488 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Both,All Sites,Polk County,492.7,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Both,All Sites,Not Polk,494.7,0.7332 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Male,All Sites,Polk County,562.3,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Male,All Sites,Not Polk,575.4,0.1843 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Female,All Sites,Polk County,451.3,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Female,All Sites,Not Polk,439.6,0.1220 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Both,All Sites,Polk County,495.1,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Both,All Sites,Not Polk,490.1,0.3806 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Male,All Sites,Polk County,556.7,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Male,All Sites,Not Polk,547,0.2879 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Female,All Sites,Polk County,456.9,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Female,All Sites,Not Polk,451.9,0.4994 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Both,All Sites,Polk County,476.5,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Both,All Sites,Not Polk,491.2,0.0059 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Male,All Sites,Polk County,526.7,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Male,All Sites,Not Polk,531.5,0.5746 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Female,All Sites,Polk County,445.1,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Female,All Sites,Not Polk,466.2,0.0031 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Both,All Sites,Polk County,497.8,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Both,All Sites,Not Polk,498.5,0.8953 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Male,All Sites,Polk County,532.8,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Male,All Sites,Not Polk,541.5,0.2786 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Female,All Sites,Polk County,480.4,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Female,All Sites,Not Polk,470.1,0.1408 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Both,Lung,Polk County,81.2,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Both,Lung,Not Polk,70.5,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Male,Lung,Polk County,98.3,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Male,Lung,Not Polk,89.7,0.0326 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Female,Lung,Polk County,69.4,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Female,Lung,Not Polk,56.7,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Both,Lung,Polk County,75.6,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Both,Lung,Not Polk,68.7,0.0015 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Male,Lung,Polk County,89.3,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Male,Lung,Not Polk,84,0.1533 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Female,Lung,Polk County,66.3,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Female,Lung,Not Polk,57.5,0.0011 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Both,Lung,Polk County,69.9,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Both,Lung,Not Polk,63.9,0.0024 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Male,Lung,Polk County,84,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Male,Lung,Not Polk,72.2,0.0003 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Female,Lung,Polk County,60,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Female,Lung,Not Polk,57.8,0.4004 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Both,Lung,Polk County,62.6,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Both,Lung,Not Polk,58.7,0.0294 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Male,Lung,Polk County,67.9,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Male,Lung,Not Polk,63.8,0.1472 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Female,Lung,Polk County,58.9,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Female,Lung,Not Polk,55,0.0965 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Both,Melanoma,Polk County,15.4,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Both,Melanoma,Not Polk,19.2,0.0005 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Male,Melanoma,Polk County,18.6,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Male,Melanoma,Not Polk,23.8,0.0066 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Female,Melanoma,Polk County,13.2,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Female,Melanoma,Not Polk,16.3,0.0298 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Both,Melanoma,Polk County,18.1,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Both,Melanoma,Not Polk,25.8,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Male,Melanoma,Polk County,23.5,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Male,Melanoma,Not Polk,29.2,0.0052 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Female,Melanoma,Polk County,14.7,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Female,Melanoma,Not Polk,23.9,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Both,Melanoma,Polk County,22.6,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Both,Melanoma,Not Polk,29.3,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Male,Melanoma,Polk County,27.6,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Male,Melanoma,Not Polk,33.6,0.0032 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Female,Melanoma,Polk County,19.2,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2013-2017,Female,Melanoma,Not Polk,26.8,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Both,Melanoma,Polk County,29,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Both,Melanoma,Not Polk,34.4,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Male,Melanoma,Polk County,36,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Male,Melanoma,Not Polk,38.4,0.2880 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Female,Melanoma,Polk County,24.5,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2018-2022,Female,Melanoma,Not Polk,32.3,0.0000 ,1,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Both,Oral Cavity and Pharynx,Polk County,11.6,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Both,Oral Cavity and Pharynx,Not Polk,11.1,0.6346 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Male,Oral Cavity and Pharynx,Polk County,16.9,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Male,Oral Cavity and Pharynx,Not Polk,17.4,0.8077 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Female,Oral Cavity and Pharynx,Polk County,7.1,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2003-2007,Female,Oral Cavity and Pharynx,Not Polk,5.7,0.1342 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Both,Oral Cavity and Pharynx,Polk County,11.6,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Both,Oral Cavity and Pharynx,Not Polk,11.5,0.8480 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Male,Oral Cavity and Pharynx,Polk County,17.4,,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Male,Oral Cavity and Pharynx,Not Polk,17.5,0.9436 ,0,All
"Across Counties, Total Population",Other Iowa Metro Counties,2008-2012,Female,Oral Cavity and Pharynx,Polk County,6.8,,0,All
